725373,756194,120347,5930,33906,20419,352,5116,15.4783,
626870,808177,113778,841,4324,3362,25,342,16.4998,
613775,816366,96976,573,2921,2200,8,207,16.7047,
564160,806567,113278,727,3741,2950,16,342,16.932,
577748,807635,84465,442,2388,1766,13,178,17.047,
513935,795758,152679,1319,7524,6475,53,914,17.0576,
542200,817817,105851,657,3622,2735,15,329,17.1677,
500489,753140,195050,2669,15198,14639,184,3158,16.9904,
480501,805917,140979,1305,7353,6207,75,1069,17.5368,
-
725373,756194,120347,5930,33906,20419,352,5116,15.4783,
626870,808177,113778,841,4324,3362,25,342,16.4998,
613775,816366,96976,573,2921,2200,8,207,16.7047,
564160,806567,113278,727,3741,2950,16,342,16.932,
577748,807635,84465,442,2388,1766,13,178,17.047,
513935,795758,152679,1319,7524,6475,53,914,17.0576,
542200,817817,105851,657,3622,2735,15,329,17.1677,
500489,753140,195050,2669,15198,14639,184,3158,16.9904,
480501,805917,140979,1305,7353,6207,75,1069,17.5368,
-
725373,756194,120347,5930,33906,20419,352,5116,15.4783,
626870,808177,113778,841,4324,3362,25,342,16.4998,
613775,816366,96976,573,2921,2200,8,207,16.7047,
564160,806567,113278,727,3741,2950,16,342,16.932,
577748,807635,84465,442,2388,1766,13,178,17.047,
513935,795758,152679,1319,7524,6475,53,914,17.0576,
542200,817817,105851,657,3622,2735,15,329,17.1677,
500489,753140,195050,2669,15198,14639,184,3158,16.9904,
480501,805917,140979,1305,7353,6207,75,1069,17.5368,
-
